Time,NE11/Zone4,Time,NE11/Zone3,Time,NE11/Zone1,Time,NE11/Zone2,Time,NE11/Zone4,Time,NE11/Zone3,Time,NE11/Zone1,Time,NE11/Zone2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010002218,0.001058039,0.010002218,9.99767E-05,0.010002218,-0.003093259,0.010002218,-0.001203525,0.010002218,0.001650534,0.010002218,0.000706265,0.010002218,-0.00309933,0.010002218,-0.000615024
0.020001031,0.005494832,0.020001031,0.00197961,0.020001031,-0.003928146,0.020001031,0.001376876,0.020001031,0.008809645,0.020001031,0.005571792,0.020001031,-0.00404557,0.020001031,0.006696425
0.030000495,0.012227138,0.030000495,0.007887672,0.030000495,-0.000673956,0.030000495,0.010661081,0.030000495,0.019169392,0.030000495,0.016313195,0.030000495,-0.00058276,0.030000495,0.023622975
0.040000711,0.020116901,0.040000711,0.017862393,0.040000711,0.031362087,0.040000711,0.026598314,0.040000711,0.031364083,0.040000711,0.032880493,0.040000711,0.030706408,0.040000711,0.048578411
0.05000037,0.028662052,0.05000037,0.029923694,0.05000037,0.082739346,0.05000037,0.047852166,0.05000037,0.046705663,0.05000037,0.053171221,0.05000037,0.083135627,0.05000037,0.082383275
0.060001832,0.041251697,0.060001832,0.043013927,0.060001832,0.15535669,0.060001832,0.076989248,0.060001832,0.067545108,0.060001832,0.07701993,0.060001832,0.157308728,0.060001832,0.123711035
0.070001557,0.054732002,0.070001557,0.058039542,0.070001557,0.26528585,0.070001557,0.107113823,0.070001557,0.091606043,0.070001557,0.102728754,0.070001557,0.264125288,0.070001557,0.174598649
0.080000825,0.067950211,0.080000825,0.072160445,0.080000825,0.403781205,0.080000825,0.141521484,0.080000825,0.116151512,0.080000825,0.127470702,0.080000825,0.403934538,0.080000825,0.225152984
0.090001456,0.079568133,0.090001456,0.085576616,0.090001456,0.571690559,0.090001456,0.178697407,0.090001456,0.139859751,0.090001456,0.150631949,0.090001456,0.571435034,0.090001456,0.27662015
0.10000179,0.091658488,0.10000179,0.097561866,0.10000179,0.752683222,0.10000179,0.210978761,0.10000179,0.157012492,0.10000179,0.172509953,0.10000179,0.74970907,0.10000179,0.325710237
0.110001951,0.09843874,0.110001951,0.107749715,0.110001951,0.74962008,0.110001951,0.222036734,0.110001951,0.171306148,0.110001951,0.175938085,0.110001951,0.747238696,0.110001951,0.321107
0.120002016,0.110674672,0.120002016,0.13199915,0.120002016,0.740581751,0.120002016,0.25167051,0.120002016,0.194601282,0.120002016,0.194188476,0.120002016,0.73937422,0.120002016,0.327404976
0.130000472,0.1175837,0.130000472,0.168256566,0.130000472,0.733965397,0.130000472,0.313877881,0.130000472,0.209144756,0.130000472,0.228795066,0.130000472,0.7335549,0.130000472,0.35854122
0.140001193,0.129264414,0.140001193,0.213843331,0.140001193,0.762165844,0.140001193,0.413329333,0.140001193,0.218560308,0.140001193,0.272691518,0.140001193,0.771446049,0.140001193,0.429217517
0.150002077,0.13355507,0.150002077,0.257257044,0.150002077,0.876090288,0.150002077,0.541008472,0.150002077,0.2268053,0.150002077,0.315139353,0.150002077,0.887950599,0.150002077,0.533123672
0.160001069,0.134414986,0.160001069,0.267934412,0.160001069,1.058552384,0.160001069,0.652818978,0.160001069,0.229967788,0.160001069,0.323404253,0.160001069,1.072998047,0.160001069,0.64222008
0.170000076,0.13550128,0.170000076,0.269773424,0.170000076,1.144871235,0.170000076,0.697191656,0.170000076,0.232891545,0.170000076,0.323888123,0.170000076,1.164297819,0.170000076,0.705619156
0.180000231,0.136317343,0.180000231,0.269935995,0.180000231,1.168534636,0.180000231,0.705167592,0.180000231,0.235355914,0.180000231,0.324955583,0.180000231,1.187137246,0.180000231,0.72023505
0.190000921,0.13733688,0.190000921,0.269688994,0.190000921,1.167043805,0.190000921,0.707139969,0.190000921,0.237891018,0.190000921,0.324817985,0.190000921,1.187549949,0.190000921,0.71893537
0.200000629,0.137655318,0.200000629,0.269091785,0.200000629,1.163903475,0.200000629,0.706998825,0.200000629,0.240637332,0.200000629,0.325463533,0.200000629,1.182132244,0.200000629,0.718809307
0.210001484,0.136868909,0.210001484,0.268506974,0.210001484,1.159610152,0.210001484,0.707101822,0.210001484,0.242227063,0.210001484,0.325517714,0.210001484,1.179850817,0.210001484,0.717823327
0.220001921,0.136108607,0.220001921,0.268001437,0.220001921,1.15875113,0.220001921,0.706981063,0.220001921,0.242444813,0.220001921,0.325490028,0.220001921,1.178953052,0.220001921,0.717853665
0.230000198,0.135371685,0.230000198,0.26758039,0.230000198,1.158682227,0.230000198,0.707006335,0.230000198,0.242138356,0.230000198,0.325441092,0.230000198,1.178501725,0.230000198,0.718063951
0.24000071,0.134707794,0.24000071,0.267294079,0.24000071,1.158464074,0.24000071,0.706912339,0.24000071,0.241749763,0.24000071,0.325337678,0.24000071,1.178402066,0.24000071,0.718258083
0.25,0.13411507,0.25,0.26705116,0.25,1.158133864,0.25,0.706901431,0.25,0.241295472,0.25,0.32524702,0.25,1.17819643,0.25,0.718256533
