N=6,N=6,N=6,N=6,N=6,N=6
0,0.846534073,0,0.908343792,0,0.800846756
5.424019814,0.825167418,5.224187374,0.88667345,5.656603336,0.780309498
11.08093357,0.781171441,10.73739719,0.836271167,11.43767929,0.743908405
17.1899147,0.734256446,16.5850811,0.7905007,17.60470009,0.697558045
22.73715591,0.761537015,21.95431519,0.832280278,23.32718468,0.717839122
28.02414513,0.781892717,27.01280594,0.849158287,28.82190895,0.739889741
33.62133408,0.696988285,32.39488602,0.707154214,34.46723175,0.675595939
40.24716949,0.726274133,39.14967346,0.721056104,41.3020668,0.710587561
46.36001587,0.819320798,45.34200668,0.820222139,47.48205185,0.812889636
52.34646988,0.826503873,51.28543472,0.819131315,53.36954117,0.842832327
58.56492233,0.890106797,57.6835289,0.874327838,59.39704132,0.910280704
64.18681335,0.990359664,63.43184662,0.975348473,64.88784027,1.008290052
68.94264221,1.070132732,68.27606964,1.056336403,69.54758453,1.087408662
72.24121094,1.115662694,71.63239288,1.100987792,72.79023743,1.135311723
73.9670105,1.14264214,73.40133667,1.129463434,74.48653412,1.16219306
76.48249054,1.191127181,75.94727325,1.175780058,76.96067047,1.207382202
79.2301178,1.244985104,78.75906372,1.228875637,79.68961334,1.260839105
82.03164673,1.29243505,81.60042572,1.276821852,82.45169067,1.30524683
84.81497192,1.354133725,84.45153046,1.327021241,85.24794769,1.366631031
87.50341797,1.427279472,87.22214508,1.390414715,87.93054962,1.440901399
90.14125824,1.491890192,90.09410858,1.472660065,90.39263153,1.514222383
92.67751312,1.533448458,92.49375916,1.524707317,92.97304535,1.561989069
95.13915253,1.549529314,95.00507355,1.531711698,95.37618256,1.572728634
97.70552063,1.559284806,97.59326172,1.533963442,97.87910461,1.58632648
100.3538437,1.56325531,100.2846146,1.533247709,100.4828949,1.594158173
